"URL","Price","Date","Make","Model","Year","Mileage_in_KM","Transmission","City","Color","Fuel_Type","Class","Body_Style","Cylinder_Count","Engine_Capacity"
"https://www.contactcars.com/en/used-cars/skoda-octavia/ff3e6af53148","530000","10/27/2025","Skoda","Octavia","2006","222000","Automatic","Cairo","Black","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/renault-megane/2a5ae7961cfc","750000","10/27/2025","Renault","Megane","2020","136000","Automatic","Cairo","Maroon","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/jeep-renegade/73c571cdab91","1250000","10/27/2025","Jeep","Renegade","2022","17000","Automatic","Cairo","Turquoise","Diesel","null","SUV","","1400CC"
"https://www.contactcars.com/en/used-cars/opel-astra/336bdfae54e2","600000","10/27/2025","Opel","Astra","2017","192000","Manual","Gharbia","Navy Blue","Gas","null","Sedan","6","1600CC"
"https://www.contactcars.com/en/used-cars/toyota-corolla/c05c2768bf4d","1150000","10/27/2025","Toyota","Corolla","2022","67000","Automatic","Cairo","Black","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/bmw-x3/550a6de90c93","2300000","10/27/2025","BMW","X3","2017","95000","Automatic","Cairo","Dark Grey","Gas","null","SUV","6","3000CC"
"https://www.contactcars.com/en/used-cars/opel-cross_land/36f0628b1548","570000","10/27/2025","Opel","Cross Land","2019","170000","Automatic","Giza","Gray","Gas","null","SUV","3","1200CC"
"https://www.contactcars.com/en/used-cars/mercedes-c180/a17414e609f9","400000","10/27/2025","Mercedes","C180","2000","350000","Automatic","Alexandria","Navy Blue","Gas","null","Sedan","4","1800CC"
"https://www.contactcars.com/en/used-cars/speranza-a516/7ffb9afe28cc","240000","10/27/2025","Speranza","A516","2011","220000","Manual","Giza","Gray","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/daihatsu-terios/acbac614dc43","650000","10/27/2025","Daihatsu","Terios","2011","162000","Automatic","Monufia","Maroon","Gas","null","SUV","4","1500CC"
"https://www.contactcars.com/en/used-cars/dodge-ram/8ed1a7d02669","4000000","10/27/2025","Dodge","Ram","2021","70000","Automatic","Giza","Black","Gas","null","Pickup","8","5700CC"
"https://www.contactcars.com/en/used-cars/hyundai-ix_35/aed67cb5f9a9","950000","10/26/2025","Hyundai","IX 35","2016","100000","Automatic","Giza","Black","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/renault-logan/04bea27ab043","350000","10/26/2025","Renault","Logan","2013","196000","Automatic","Giza","Red","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/citroen-c3_aircross/3c1fb4b58022","820000","10/26/2025","Citroën","C3 Aircross","2022","48000","Automatic","Damietta","Red","Gas","null","SUV","4","1200CC"
"https://www.contactcars.com/en/used-cars/kia-carnival/16dfafe779ec","3250000","10/26/2025","Kia","Carnival","2024","4000","Automatic","Cairo","White","Hybrid","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/mg-hs/dcf9e82701f9","1275000","10/26/2025","MG","HS","2022","7000","Automatic","Giza","Black","Gas","null","SUV","","1500CC"
"https://www.contactcars.com/en/used-cars/audi-a3/d15cf599e7b5","1200000","10/26/2025","Audi","A3","2014","148000","Automatic","Giza","Silver","Gas","null","Hatchback","","1400CC"
"https://www.contactcars.com/en/used-cars/mg-5/040d7479b856","695000","10/26/2025","MG","5","2022","39000","Automatic","Cairo","Maroon","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/bmw-x1/5d7ca40f2f30","3000000","10/26/2025","BMW","X1","2025","18000","Automatic","Cairo","White","Gas","null","SUV","","1500CC"
"https://www.contactcars.com/en/used-cars/bmw-x2/59566e180317","3250000","10/26/2025","BMW","X2","2025","5000","Automatic","Cairo","Red","Gas","null","SUV","","2000CC"
"https://www.contactcars.com/en/used-cars/bmw-x1/6673f9eb7f92","3000000","10/26/2025","BMW","X1","2025","4000","Automatic","Cairo","Blue","Gas","null","SUV","","2000CC"
"https://www.contactcars.com/en/used-cars/bmw-x2/e30a81e28717","3300000","10/26/2025","BMW","X2","2025","5000","Automatic","Cairo","Blue","Gas","null","SUV","","2000CC"
"https://www.contactcars.com/en/used-cars/bmw-520i/08c588da0191","5250000","10/26/2025","BMW","520i","2025","1500","Automatic","Cairo","White","Gas","null","SUV","","2000CC"
"https://www.contactcars.com/en/used-cars/skoda-octavia/02a1bf97dd98","550000","10/26/2025","Skoda","Octavia","2006","236000","Manual","Giza","Navy Blue","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/skoda-kodiaq/2b994b9403da","2600000","10/26/2025","Skoda","KODIAQ","2024","500","Automatic","Cairo","Silver","Gas","null","SUV","4","1500CC"
"https://www.contactcars.com/en/used-cars/suzuki-swift/d5280bcae56d","650000","10/26/2025","Suzuki","Swift","2022","78000","Automatic","Cairo","White","Gas","null","Hatchback","3","1200CC"
"https://www.contactcars.com/en/used-cars/citroen-c3/5d6a1767a556","695000","10/26/2025","Citroën","C3","2021","62000","Automatic","Cairo","Beige","Gas","null","Hatchback","3","1200CC"
"https://www.contactcars.com/en/used-cars/skoda-kodiaq/66f1921cea54","2400000","10/26/2025","Skoda","KODIAQ","2023","22000","Automatic","Monufia","White","Gas","null","SUV","4","1400CC"
